0
4;211498,1,0,0,0,0,0,0,0,0,0,0
3;584361,1,0,0,0,0,0,0,0,0,0,0
26;32689,1,0,0,0,0,0,0,0,0,0,0
28;3.12036e+06,0.999999,5.99972e-07,0,0,0,0,5.99972e-07,0,0,0,0
20;208711,1,0,0,0,0,0,0,0,0,0,0
15;106317,1,0,0,0,0,0,0,0,0,0,0
21;129752,1,0,0,0,0,0,0,0,0,0,0
29;619087,1,0,0,0,0,0,0,0,0,0,0
17;424830,1,4.99977e-07,0,0,0,0,4.99977e-07,0,0,0,0
31;599589,1,0,0,0,0,0,0,0,0,0,0
25;114081,1,0,0,0,0,0,0,0,0,0,0
24;87675,1,0,0,0,0,0,0,0,0,0,0
22;1.05466e+06,1,2.99986e-07,0,0,0,0,2.99986e-07,0,0,0,0
13;188937,1,0,0,0,0,0,0,0,0,0,0
9;311908,1,0,0,0,0,0,0,0,0,0,0
6;149960,1,0,0,0,0,0,0,0,0,0,0
34;114434,1,0,0,0,0,0,0,0,0,0,0
30;168493,1,0,0,0,0,0,0,0,0,0,0
5;592163,1,0,0,0,0,0,0,0,0,0,0
7;1.60595e+06,1,0,0,0,0,0,0,0,0,0,0
19;169884,1,0,0,0,0,0,0,0,0,0,0
2;139757,1,0,0,0,0,0,0,0,0,0,0
1;1.2258e+06,1,0,0,0,0,0,0,0,0,0,0
18;147977,1,0,0,0,0,0,0,0,0,0,0
33;83441,1,0,0,0,0,0,0,0,0,0,0
16;212719,1,0,0,0,0,0,0,0,0,0,0
32;712402,1,0,0,0,0,0,0,0,0,0,0
8;130964,1,0,0,0,0,0,0,0,0,0,0
12;199023,1,0,0,0,0,0,0,0,0,0,0
23;173170,1,0,0,0,0,0,0,0,0,0,0
11;507524,1,0,0,0,0,0,0,0,0,0,0
10;155203,1,0,0,0,0,0,0,0,0,0,0
14;472485,1,0,0,0,0,0,0,0,0,0,0
27;108631,1,0,0,0,0,0,0,0,0,0,0
0
4;211498,0.82655,0,0.17345,0,0,0,0,0,0,0,0
3;584361,0.82655,0,0.17345,0,0,0,0,0,0,0,0
26;32689,0.82655,0,0.17345,0,0,0,0,0,0,0,0
28;3.12036e+06,0.82655,5.99972e-07,0.17345,0,0,0,0,0,0,0,0
20;208711,0.82655,0,0.17345,0,0,0,0,0,0,0,0
15;106317,0.82655,0,0.17345,0,0,0,0,0,0,0,0
